Lead1,Lead2,Lead3
-2.50379,-4.14353,-1.63417
-2.14458,-3.90352,-1.69582
-1.87278,-3.68071,-1.73933
-1.62879,-3.17879,-1.59055
-0.904755,-2.42982,-1.50304
0.00989532,-1.63419,-1.54419
0.589333,-0.87677,-1.39896
0.969264,-0.289032,-1.18015
1.25021,0.0644989,-1.07455
1.4924,0.27861,-1.16035
1.55412,0.302261,-1.29256
1.65833,0.361084,-1.34029
2.1651,0.689438,-1.49767
2.69392,0.849632,-1.84417
2.98963,0.770241,-2.17068
3.34632,0.812927,-2.44465
3.86277,0.948097,-2.826
4.28924,1.11116,-3.15077
4.39102,1.30009,-3.11608
4.2765,1.43939,-2.92275
4.15016,1.4579,-2.73206
4.08139,1.3997,-2.61358
3.88882,1.29901,-2.46858
3.43639,1.2398,-2.13335
2.91121,1.22713,-1.7434
2.53721,1.26548,-1.27599
2.50428,1.58827,-0.80719
2.67586,2.01559,-0.611549
2.62881,2.21558,-0.433815
2.26668,2.31242,0.00494385
1.87566,2.39348,0.484268
1.43742,2.24535,0.759239
1.03742,1.9557,0.914055
0.748913,1.71068,1.07944
0.292019,1.41922,1.11552
-0.151562,1.1508,1.24689
-0.274258,1.09666,1.62487
-0.355095,1.21443,1.77404
-0.437565,1.41983,1.80798
-0.569283,1.47839,1.93517
-0.802094,1.24358,1.98026
-1.07485,1.10991,2.25955
-1.56967,1.07167,2.71427
-2.12212,0.798126,2.92463
-2.42014,0.554749,2.94527
-2.47857,0.53215,2.90988
-2.61975,0.428925,2.88439
-2.71525,0.168869,2.77509
-2.62402,0.00541687,2.57596
-2.501,-0.111328,2.42469
-2.5056,-0.36142,2.19069
-2.65083,-0.68486,1.87637
-2.71596,-1.1212,1.50774
-2.82194,-1.55978,1.24561
-2.72674,-1.57877,1.16176
-2.29187,-1.20322,1.14554
-2.01046,-0.907913,1.21242
-1.85987,-0.835938,1.17241
-1.73665,-0.885498,0.930435
-1.73512,-1.01248,0.718491
-1.77278,-0.83519,0.866013
-1.81298,-0.615784,1.13864
-1.92404,-0.822418,1.0975
-2.08788,-1.01587,1.0437
-2.00003,-0.841949,1.08644
