Lead1,Lead2,Lead3
0.302308,0.63591,1.85101
0.33972,0.562706,1.99526
0.0697786,1.25111,2.01492
0.0684388,2.41023,1.64849
1.29737,5.55866,1.5545
4.15389,10.2925,1.50925
6.90617,13.1578,1.17979
8.48353,14.6331,1.11678
8.83155,16.0571,1.2913
11.2392,19.7756,1.42371
14.7202,26.002,1.8781
16.3863,30.5743,2.29851
16.5174,31.554,2.46689
14.9725,30.1028,2.58444
12.567,26.2245,2.34739
9.56144,22.2054,2.43202
7.57211,19.7211,2.68655
6.26898,17.1689,2.67051
4.59924,15.2375,2.87579
3.50732,13.5476,3.02528
2.65297,10.1047,2.52984
0.818581,5.90405,2.25914
9.79175e-05,2.67059,2.38452
0.347313,0.768726,1.95708
0.939473,0.0835395,1.39274
1.56302,0.00416011,1.15467
2.22725,0.0776237,1.34642
2.41529,0.0913619,1.6707
2.75004,0.130382,1.79637
4.68767,0.475325,2.24302
7.25722,0.721875,3.40096
8.93787,0.593271,4.71187
11.1979,0.660851,5.97631
14.921,0.898888,7.98626
18.3976,1.23468,9.92736
19.2811,1.69025,9.70996
18.2885,2.07185,8.54248
17.2238,2.12548,7.46417
16.6577,1.95917,6.83079
15.1229,1.68743,6.0939
11.8088,1.5371,4.5512
8.47514,1.50584,3.03945
6.43745,1.60144,1.62814
6.2714,2.52261,0.651556
7.16023,4.06259,0.373993
6.91063,4.90878,0.188195
5.13783,5.3473,2.44416e-05
3.51809,5.72874,0.234516
2.06616,5.04158,0.576444
1.07624,3.82478,0.835496
0.56087,2.92642,1.16518
0.085275,2.01419,1.24439
0.022971,1.32435,1.55475
0.0752173,1.20267,2.6402
0.126092,1.47484,3.14722
0.191463,2.01592,3.2688
0.324083,2.18565,3.74487
0.643354,1.54648,3.92141
1.15531,1.2319,5.10558
2.46387,1.14848,7.36727
4.50341,0.637005,8.55346
5.85706,0.307746,8.67464
6.14332,0.283184,8.46741
6.8631,0.183976,8.31972
7.37257,0.0285167,7.7011
6.8855,2.93425e-05,6.63556
6.255,0.012394,5.87912
6.27804,0.130624,4.79912
7.02688,0.469034,3.52078
7.37642,1.25709,2.27329
7.96335,2.43293,1.55153
7.43511,2.4925,1.34968
5.25265,1.44773,1.31226
4.04194,0.824306,1.46996
3.45911,0.698792,1.37454
3.01596,0.784107,0.86571
3.01064,1.02512,0.516229
3.14275,0.697542,0.749978
3.2869,0.37919,1.2965
3.70193,0.676372,1.20451
4.35923,1.03199,1.08931
4.00012,0.708879,1.18035
3.38515,0.288388,1.56036
3.79123,0.215244,2.11681
4.764,0.180019,3.04187
6.76064,0.317901,4.17484
9.02051,0.98005,4.02629
9.51707,1.59745,3.27554
9.33565,1.96537,2.51742
9.64891,2.91489,1.65367
10.2302,4.5811,1.05707
10.8134,6.1802,0.617717
9.16221,6.23955,0.233881
6.33785,4.98565,0.0458175
5.81798,5.01615,0.0161753
6.53592,5.71823,0.0334997
7.49305,6.94074,0.0274852
8.87724,9.22709,0.000467498
9.03212,10.1856,0.0628438
8.07371,9.86204,0.0844416
6.98538,9.00092,0.0659882
5.52586,7.66599,0.112046
4.12963,6.91307,0.342858
2.67125,5.79107,0.657654
0.929805,3.86154,0.96102
0.139933,2.08633,1.18155
0.00141617,1.08532,1.24045
0.0286393,0.793906,1.34533
0.122403,0.651901,1.36226
0.495872,0.467134,1.84313
1.44193,0.354962,2.90635
2.79985,0.04713,3.24969
4.07968,0.0867406,2.87843
4.31161,0.100577,2.69215
3.53812,0.0235001,2.86793
3.38079,0.0261238,3.08015
3.35287,0.000196854,3.34522
3.2201,0.105088,4.43692
3.98984,0.357029,6.57251
5.68611,0.311754,8.74611
8.07529,0.118049,10.4756
12.8383,0.00772476,11.9958
18.7558,0.490551,13.2259
21.4566,1.03422,13.2782
24.3792,1.82348,13.6236
27.3814,2.16173,15.3461
28.517,2.40802,14.6553
32.9032,4.56426,12.8369
37.9893,6.61997,12.5804
36.2128,5.85144,12.4697
31.6674,4.0217,12.7018
29.2081,2.65371,13.973
26.6387,1.7749,14.4833
22.6808,1.0601,13.8201
19.6836,0.717887,12.9987
18.341,0.701268,12.0269
18.4664,1.05406,10.5895
19.8008,1.98884,9.2225
20.3656,2.678,8.39369
19.0838,2.43088,8.01273
17.5862,1.86691,7.73718
17.5435,2.34332,7.03827
18.8035,3.60218,6.44519
21.3532,4.98923,5.90396
25.34,6.48653,6.15892
28.7474,7.80647,6.83249
28.1742,8.35351,5.94215
24.3689,7.79931,4.66847
22.3928,7.76441,4.21101
22.1427,7.75489,4.06327
20.7218,6.46979,4.32394
17.8472,4.19401,4.74028
15.6801,2.63676,5.25841
13.9397,2.02386,5.48721
11.7022,1.37526,5.31561
