Lead1,Lead2,Lead3
6.21983,2.26435,4.3157
5.81349,2.21561,4.16224
5.46156,2.16552,4.00531
5.15383,2.13838,3.8431
4.88213,2.15319,3.67812
4.64189,2.17835,3.52986
4.43701,2.17555,3.42865
4.29847,2.15426,3.3796
4.2054,2.12605,3.37167
4.10367,2.07172,3.37837
3.97399,1.9768,3.38281
3.85624,1.8452,3.40037
3.7984,1.68994,3.44088
3.80415,1.53206,3.47119
3.87581,1.40676,3.48722
3.96718,1.30939,3.498
4.05544,1.22695,3.51035
4.17125,1.17073,3.53761
4.3194,1.13497,3.58408
4.52832,1.10732,3.63204
4.80627,1.09186,3.65951
5.0977,1.07878,3.65972
5.37931,1.0719,3.62136
5.66073,1.11466,3.5505
5.94432,1.21932,3.42398
6.20525,1.37656,3.21306
6.35084,1.55164,2.95307
6.36586,1.69783,2.68342
6.35569,1.84573,2.41932
6.34547,2.01868,2.16037
6.34924,2.23469,1.92057
6.41148,2.52303,1.71323
6.49826,2.84094,1.53147
6.55438,3.14505,1.38413
6.55308,3.41167,1.27617
6.49525,3.61195,1.20863
6.37545,3.75195,1.17086
6.22658,3.85503,1.14924
6.09149,3.93047,1.13826
5.96955,3.9699,1.12925
5.8615,3.98198,1.12506
5.76814,3.98229,1.14005
5.67789,3.97063,1.16648
5.59517,3.96343,1.20064
5.53751,3.96267,1.25095
5.50933,3.94301,1.31486
5.50059,3.91347,1.37077
5.51032,3.89446,1.41802
5.5151,3.88618,1.45888
5.50228,3.88027,1.48898
5.45818,3.87465,1.49846
5.34754,3.868,1.50665
5.19033,3.84853,1.58622
5.07061,3.80835,1.75718
5.03123,3.75062,2.00587
5.13089,3.65977,2.32906
5.39732,3.53194,2.70934
5.72992,3.37113,3.10498
6.20545,3.23313,3.52341
6.86306,3.14488,4.00154
7.5724,3.06338,4.45901
8.39638,3.02732,4.85912
9.34939,3.01729,5.2514
10.2036,2.91181,5.64106
10.911,2.71918,6.03603
11.5714,2.49392,6.47005
12.1856,2.26811,6.92058
12.7217,2.06168,7.34896
13.2077,1.86808,7.74446
13.6974,1.70902,8.09975
14.2454,1.62129,8.40064
14.8598,1.61824,8.65192
15.4962,1.66801,8.87546
16.0917,1.71917,9.08381
16.6375,1.75714,9.28303
17.1702,1.81577,9.44538
17.7127,1.91724,9.55597
18.2925,2.07168,9.63891
18.9569,2.27168,9.74143
19.7205,2.51249,9.87081
20.4904,2.7728,9.96688
21.1463,3.01571,10.0165
21.7413,3.25834,10.0436
22.3326,3.4974,10.0319
22.8555,3.68842,9.96163
23.2355,3.80974,9.83645
23.4732,3.88845,9.67341
23.5076,3.95146,9.47002
23.2872,3.9791,9.22282
22.9487,3.97594,8.97542
22.4947,3.94084,8.71881
21.8929,3.87999,8.4229
21.196,3.80477,8.15695
20.3147,3.66632,7.94095
19.2514,3.46675,7.73186
18.2339,3.29571,7.52986
17.3469,3.19622,7.35139
16.5143,3.15535,7.14028
15.7207,3.16275,6.87475
15.0258,3.22757,6.63419
14.4158,3.34093,6.44496
13.8449,3.47544,6.27492
13.269,3.62818,6.16166
12.6504,3.84447,6.13613
12.0239,4.17411,6.15693
11.4546,4.57126,6.17399
10.9327,4.96424,6.18997
10.409,5.35806,6.25191
9.8489,5.77284,6.3532
9.22735,6.22934,6.47852
8.52334,6.76987,6.59889
7.77198,7.397,6.66993
7.12241,8.13439,6.73832
6.69834,9.08177,6.84932
6.45213,10.2117,6.97146
6.27132,11.4312,7.08422
6.09853,12.653,7.18736
5.89905,13.7035,7.26189
5.69998,14.5878,7.27994
5.55728,15.4141,7.28122
5.47528,16.2691,7.31095
5.45849,17.2225,7.3338
5.56641,18.3404,7.34248
5.87722,19.7479,7.35271
6.40283,21.4537,7.37598
7.15758,23.4725,7.41941
8.1739,25.9236,7.48186
9.38492,28.7062,7.55706
10.8296,31.785,7.62168
12.5532,35.2395,7.69284
14.4937,38.9673,7.81626
16.666,42.907,7.94184
19.0051,47.0169,8.01927
21.363,51.1875,8.09827
23.7281,55.3795,8.18771
26.0609,59.4838,8.25284
28.2607,63.2747,8.27942
30.5076,66.7122,8.22823
32.836,69.9266,8.11079
35.0052,72.9327,7.96651
36.9067,75.6238,7.84706
38.5241,78.0831,7.79167
39.9136,80.4559,7.78031
41.1662,82.8432,7.86558
42.2772,85.1607,8.0384
43.1446,87.2324,8.26139
43.7387,89.1696,8.61655
44.1701,91.1071,9.09844
44.617,93.0969,9.60695
45.2174,95.3252,10.1012
45.9231,97.8005,10.6372
46.6243,100.322,11.2222
47.2802,102.708,11.7393
47.8595,104.884,12.2193
48.2971,106.736,12.6889
48.4989,108.078,13.0948
48.4682,108.891,13.4458
48.1967,109.163,13.7513
47.6106,108.804,14.0083
46.743,107.851,14.1991
45.5352,106.258,14.3251
43.9813,104.054,14.4348
42.2379,101.453,14.5011
40.2927,98.5088,14.4777
38.1729,95.2467,14.4287
36.0282,91.796,14.3591
33.8643,88.1972,14.2251
31.7352,84.5209,14.0362
29.7315,80.969,13.8434
27.6672,77.6645,13.7269
25.5173,74.5027,13.6543
23.4847,71.391,13.5506
21.6951,68.4314,13.3815
20.1811,65.5672,13.1312
18.871,62.6459,12.8306
17.639,59.5591,12.4608
16.4537,56.3774,12.0343
15.3944,53.2225,11.5566
14.4722,49.9991,10.9523
13.643,46.6701,10.235
12.8144,43.3045,9.49587
11.9283,39.9159,8.80012
10.9887,36.478,8.11611
10.0397,33.0669,7.40562
9.13072,29.7882,6.76005
8.24408,26.6721,6.17909
7.39072,23.8016,5.65499
6.62439,21.2054,5.20827
5.9374,18.9154,4.82212
5.32989,17.0208,4.51892
4.81894,15.4591,4.29426
4.39969,14.1957,4.16906
4.09675,13.3532,4.18019
3.9039,12.9854,4.29953
3.73279,12.8635,4.51664
3.53506,12.8281,4.88993
3.34058,12.9867,5.42918
3.14234,13.1949,6.0206
2.9444,13.3593,6.63825
2.74049,13.5113,7.34555
2.53465,13.6276,8.05961
2.32492,13.6893,8.6592
2.11884,13.7576,9.18931
1.95794,13.9674,9.71688
1.82352,14.3341,10.2121
1.69475,14.7724,10.6394
1.5677,15.2157,10.9944
1.46995,15.7725,11.33
1.41646,16.5179,11.707
1.40317,17.4531,12.1306
1.44508,18.5313,12.5849
1.49812,19.6643,13.0722
1.569,20.8831,13.6088
1.70915,22.3036,14.1556
1.94903,24.0242,14.6944
2.27126,26.0003,15.2793
2.65787,28.1567,15.9086
3.08043,30.3572,16.5437
3.47403,32.474,17.1501
3.83073,34.4978,17.7457
4.15701,36.4072,18.3416
4.4066,38.1082,18.9786
4.58501,39.7112,19.7221
